variant,sequence,frames,detections,detection_rate,pa_mpjpe_mm,mpjpe_mm,pve_mm,accel_official_30fps
paper_wham_bedlam_flip,downtown_cafe_00_1,1136,,,33.29801559448242,49.915733337402344,62.00679397583008,4.779759407043457
paper_wham_bedlam_no_flip,downtown_cafe_00_1,1136,,,35.68056869506836,52.054542541503906,64.43079376220703,5.331556797027588
fastvit_official_inputs,downtown_cafe_00_1,1136,,,45.3192138671875,65.93072509765625,78.88549041748047,6.696181297302246
paper_wham_bedlam_flip,downtown_stairs_00_0,1189,,,39.41078186035156,62.019874572753906,73.03677368164062,7.518529891967773
paper_wham_bedlam_no_flip,downtown_stairs_00_0,1189,,,42.25012969970703,67.31351470947266,78.33670806884766,8.114286422729492
fastvit_official_inputs,downtown_stairs_00_0,1189,,,43.67509460449219,70.15644073486328,86.16506958007812,8.757597923278809
iphone_subset_yolov8,downtown_stairs_00_0,1189,1047,0.8798319327731092,95.91776275634766,218.7455596923828,254.0394287109375,14.594892501831055
paper_wham_bedlam_flip,downtown_windowShopping_00_0,1805,,,29.270105361938477,50.59968566894531,59.63686752319336,5.329601287841797
paper_wham_bedlam_no_flip,downtown_windowShopping_00_0,1805,,,30.502721786499023,51.46428680419922,62.244754791259766,5.723491668701172
fastvit_official_inputs,downtown_windowShopping_00_0,1805,,,34.520450592041016,66.36106872558594,76.49478912353516,6.9719343185424805
iphone_subset_yolov8,downtown_windowShopping_00_0,1805,1806,1.0,50.4064826965332,108.67080688476562,122.45123291015625,10.141289710998535
paper_wham_bedlam_flip,downtown_enterShop_00_0,1357,,,28.70543670654297,49.420291900634766,60.35442352294922,5.134230613708496
paper_wham_bedlam_no_flip,downtown_enterShop_00_0,1357,,,31.158296585083008,51.557289123535156,63.09172821044922,5.484991550445557
fastvit_official_inputs,downtown_enterShop_00_0,1357,,,35.622257232666016,65.47811889648438,81.48088836669922,7.08396577835083
iphone_subset_yolov8,downtown_enterShop_00_0,1357,1358,1.0,55.53535079956055,119.3082504272461,138.9925079345703,10.914501190185547
paper_wham_bedlam_flip,downtown_bus_00_0,1023,,,39.64918518066406,64.80683898925781,82.49478149414062,8.64583969116211
paper_wham_bedlam_no_flip,downtown_bus_00_0,1023,,,41.01764678955078,64.61104583740234,83.1446533203125,8.954894065856934
fastvit_official_inputs,downtown_bus_00_0,1023,,,52.96133041381836,85.0521240234375,107.7327880859375,9.682100296020508
paper_wham_bedlam_flip,downtown_bus_00_1,1449,,,40.733985900878906,53.1029167175293,70.87776947021484,5.665090560913086
paper_wham_bedlam_no_flip,downtown_bus_00_1,1449,,,42.2397346496582,55.237464904785156,73.04570770263672,5.983425617218018
fastvit_official_inputs,downtown_bus_00_1,1449,,,56.327354431152344,75.72085571289062,102.9557113647461,7.612185955047607
