accel_official_30fps,detection_rate,detections,filter,frames,mpjpe_mm,pa_mpjpe_mm,pve_mm,sequence,split
2.6780166625976562,1.0,301,medium,300,51.720314025878906,31.851470947265625,61.39255142211914,outdoors_golf_00_0,validation
2.4510366916656494,1.0,301,strong,300,53.9924430847168,33.098594665527344,64.60159301757812,outdoors_golf_00_0,validation
9.958837509155273,1.0,301,raw,300,62.285987854003906,41.43208694458008,73.9708480834961,courtyard_jumpBench_01_0,validation
9.128852844238281,1.0,301,light,300,62.94938659667969,42.050235748291016,74.8205337524414,courtyard_jumpBench_01_0,validation
8.649606704711914,1.0,301,medium,300,64.705078125,43.458072662353516,76.8364028930664,courtyard_jumpBench_01_0,validation
8.316564559936523,1.0,301,strong,300,70.3286361694336,47.21467971801758,83.03519439697266,courtyard_jumpBench_01_0,validation
9.010968208312988,1.0,301,raw,300,63.62091064453125,42.59147644042969,72.57475280761719,downtown_walkDownhill_00_0,validation
8.186541557312012,1.0,301,light,300,62.429779052734375,41.07838439941406,71.32674407958984,downtown_walkDownhill_00_0,validation
7.62788200378418,1.0,301,medium,300,61.52214813232422,40.16968536376953,70.49275207519531,downtown_walkDownhill_00_0,validation
7.248475551605225,1.0,301,strong,300,62.573944091796875,43.1893424987793,72.16199493408203,downtown_walkDownhill_00_0,validation
21.14715576171875,1.0,1179,raw,1178,127.20304870605469,60.068992614746094,144.25421142578125,downtown_walkBridge_01_0,test
18.365680694580078,1.0,1179,light,1178,127.79833221435547,60.09141540527344,144.94479370117188,downtown_walkBridge_01_0,test
4.153688430786133,1.0,748,raw,747,77.04642486572266,50.29841232299805,93.71195220947266,flat_guitar_01_0,test
3.9411540031433105,1.0,748,light,747,77.2892074584961,50.49507522583008,94.04191589355469,flat_guitar_01_0,test
20.5302677154541,0.9844155844155844,379,raw,384,84.81072235107422,44.4842529296875,94.2504653930664,downtown_walkUphill_00_0,test
16.98047637939453,0.9844155844155844,379,light,384,84.27013397216797,44.10113525390625,93.61910247802734,downtown_walkUphill_00_0,test
18.101726531982422,1.0,825,raw,824,92.66108703613281,59.597381591796875,107.77169036865234,downtown_upstairs_00_0,test
14.553975105285645,1.0,825,light,824,92.22502899169922,59.337249755859375,107.36622619628906,downtown_upstairs_00_0,test
20.51218032836914,1.0,628,raw,627,124.15654754638672,67.31831359863281,143.56163024902344,downtown_downstairs_00_0,test
16.86234474182129,1.0,628,light,627,123.93753814697266,66.88231658935547,143.2306671142578,downtown_downstairs_00_0,test
17.954099655151367,0.9990412272291467,1042,raw,1042,139.0533905029297,63.37199401855469,161.0953369140625,downtown_weeklyMarket_00_0,test
15.305451393127441,0.9990412272291467,1042,light,1042,138.88385009765625,63.29185104370117,161.00807189941406,downtown_weeklyMarket_00_0,test
9.99673080444336,1.0,925,raw,924,77.3578109741211,49.76757049560547,96.70570373535156,outdoors_fencing_01_0,test
9.001049041748047,1.0,925,light,924,77.89852905273438,50.52186965942383,97.14830017089844,outdoors_fencing_01_0,test
8.776131629943848,0.9984289080911233,1271,raw,1272,89.33624267578125,55.79753875732422,98.10108947753906,flat_packBags_00_0,test
7.6394853591918945,0.9984289080911233,1271,light,1272,89.8067626953125,55.94472122192383,98.66751098632812,flat_packBags_00_0,test
11.773947715759277,0.9630252100840336,1146,raw,1189,85.79593658447266,53.29810333251953,102.10376739501953,downtown_stairs_00_0,test
10.020363807678223,0.9630252100840336,1146,light,1189,85.83829498291016,53.1943473815918,102.0928726196289,downtown_stairs_00_0,test
7.7422709465026855,0.9994462901439646,1805,raw,1805,68.38986206054688,37.209529876708984,78.74360656738281,downtown_windowShopping_00_0,test
6.886942386627197,0.9994462901439646,1805,light,1805,68.51815032958984,37.15007019042969,78.8849105834961,downtown_windowShopping_00_0,test
8.467544555664062,1.0,1358,raw,1357,68.84567260742188,42.18612289428711,84.16047668457031,downtown_enterShop_00_0,test
7.169105052947998,1.0,1358,light,1357,69.12922668457031,42.36623001098633,84.45209503173828,downtown_enterShop_00_0,test
